name,Unnamed: 0,apmw1,apmw2,apmw3,eapmw1,eapmw2,eapmw3,emw1,emw2,emw3,emw4,mw1,mw2,mw3,mw4,peak_snrw1,peak_snrw2,w12,w12_err,w23,w23_err,groupcz,deextrestnuvmag,enuvmag,enuvmag_flag,logmstar,logmgas,logmbary,sfr_nuv,sfr_nuv_err,sfr_wise,sfr_wise_err,sfr_nuv_wise,sfr_nuv_wise_err,sfr_nuv_provisional,sfr_nuv_provisional_err,sfr_nuv_wise_provisional,sfr_nuv_wise_provisional_err
rs0001,0,15.298978,15.188939999999999,12.381309,0.0010700225999999999,0.0024414061999999998,0.043427467000000004,0.0009489063,0.00251353,0.0126362,0.012918899999999999,0.0,0.0,11.2057,7.84535,20.601366,8.93153,0.11003779999999999,0.03011819,2.8076315,0.12763974,6422.3,-16.62,0.06,False,8.643584351335917,9.175244198432647,9.287176844027973,0.18389345437276558,0.010162327841709872,-999.0,-999.0,0.18389345437276558,0.010162327841709872,-999.0,-999.0,-999.0,-999.0
rs0002,1,12.794061,12.720238,9.907732000000001,0.0008573532000000001,0.0021591187,0.034682274,0.00105572,0.00289631,0.004486085,0.0143361,12.4891,12.3599,9.158430000000001,7.924460000000001,87.84059,41.213184000000005,0.073822975,0.030089812,2.8125057,0.12493007,6009.5999999999985,-18.125999999999998,0.038,False,9.40268640042508,9.774690209686344,9.928387978415884,0.7361499229101646,0.025764727148265283,0.1415075579249733,0.0007895109703819145,0.8776574808351378,0.02577682083960145,-999.0,-999.0,-999.0,-999.0
rs0003,2,13.579220000000001,13.454381,10.061939,0.0013942719,0.0032720566,0.034841537,0.00222969,0.00747585,0.00880146,0.00978899,13.5055,13.5216,9.93806,7.5018899999999995,37.437172,16.348223,0.12483883,0.030210102000000003,3.3924417,0.124998555,6922.500000000001,-18.337,0.045,False,9.024670657450534,9.50422498084036,9.628556726984051,0.8940591885733306,0.03705565247753951,0.16104820202389508,0.0010444605849320378,1.0551073905972257,0.037070369278571484,-999.0,-999.0,-999.0,-999.0
rs0004,3,16.207705999999998,16.420873999999998,,0.0025024414000000004,0.009021759,,0.00765228,0.0205965,0.004486085,0.0068435697,16.1049,15.7044,0.0,0.0,9.448972,2.9225632999999998,-0.21316719,0.031426966,-999.0,0.12377995,5195.5,-14.637,0.20600000000000002,False,8.520909196370761,8.161626177978066,8.678437608508121,0.029605082178410336,0.00561706140223181,-999.0,-999.0,0.029605082178410336,0.00561706140223181,-999.0,-999.0,-999.0,-999.0
rs1313,4,16.041264,16.20585,15.152267000000002,0.0015392303,0.0042171479999999996,0.45831108,0.00260735,0.00777912,0.10775799999999999,0.0068435697,14.72,14.8944,13.8675,0.0,17.112652,5.5885735,-0.16458702,0.030334033,1.0535831,0.47377929999999996,7191.200000000003,-16.509,0.272,False,8.345252762539731,8.807453088488261,8.936170391309114,0.16602224069005378,0.04159210061320061,0.0033139106455627124,0.0003289016077566449,0.1693361513356165,0.041593401035334765,-999.0,-999.0,-999.0,-999.0
rs0005,5,12.657136999999999,12.57444,9.385057000000002,0.0006504058999999999,0.0012626648,0.015888213999999998,0.0009489063,0.00251353,0.004486085,0.0068435697,12.3935,12.3162,8.9064,6.95142,66.65115,35.69253,0.082696915,0.030087855,3.1893826,0.12377995,7074.449805522029,-17.305999999999997,0.102,False,9.904820395581046,9.696895250245444,10.114214179649377,0.3459125118256683,0.032496914122964425,0.3346471174953606,0.0013018918772094244,0.6805596293210289,0.03252298187398057,-999.0,-999.0,-999.0,-999.0
rs1314,6,14.906398999999999,14.941397,11.71677,0.00092315674,0.0018806457999999999,0.025152206,0.0009489063,0.00489616,0.00749969,0.0068435697,0.0,13.9788,10.104,-999.0,27.753132,12.828104,-0.03499794,0.030087855,3.2246265,0.12377995,7074.449805522029,-17.952,0.06,False,8.965180363578387,9.36120305359294,9.507879758876722,0.6271425549258226,0.03465717835570567,-999.0,-999.0,0.6271425549258226,0.03465717835570567,-999.0,-999.0,-999.0,-999.0
rs0006,7,14.84575,14.66354,13.030265,0.0010881424,0.0023708344,0.13603687,0.0009489063,0.00251353,0.0133991,0.022147200000000002,0.0,12.909,11.2327,9.3982,28.579794,13.913834,0.18220997,0.030113202000000002,1.633275,0.18141569,4712.6,-15.404000000000002,0.032,False,8.139851600529902,8.42450566211855,8.606124460245644,0.060002075202913625,0.0017684465140599922,-999.0,-999.0,0.060002075202913625,0.0017684465140599922,-999.0,-999.0,-999.0,-999.0
rs0007,8,15.155551999999998,15.1069,12.999107,0.0018892288,0.00865078,0.21955395,0.00291824,0.00958347,0.0428925,0.0068435697,14.3886,14.3378,12.4538,0.0,14.583588,5.4475265,0.048651695,0.031279467000000005,2.1077929,0.2503573,7037.800000000001,-16.842,0.14400000000000002,False,8.864920836160152,8.963601215496306,9.218087781942774,0.2256141171824398,0.029922952492414032,0.011670565519996652,0.00046105097110395345,0.23728468270243644,0.029926504203819447,-999.0,-999.0,-999.0,-999.0
rs0009,9,14.991678,15.005365,13.345510500000001,0.0047893524,0.013119698,1.2770767,0.00919151,0.0194912,0.004486085,0.0068435697,14.992,14.8087,0.0,-999.0,10.961332,3.6370362999999997,-0.013687133999999998,0.033091757,1.6598548999999998,1.2827692,4486.3,-16.017,0.052000000000000005,False,8.419354923197227,9.00414363372434,9.104563288557923,0.10552765097671507,0.005054117037583394,-999.0,-999.0,0.10552765097671507,0.005054117037583394,-999.0,-999.0,-999.0,-999.0
